,model,NLVR_precision,NLVR_consistency
0,Salesforce/blip-image-captioning-large,0.5530839231547017,0.0636704119850187
1,microsoft/git-base,0.5446579036063364,0.048689138576779
2,microsoft/git-large,0.5530839231547017,0.0636704119850187
3,microsoft/git-base-coco,0.5433097404785979,0.0449438202247191
4,microsoft/git-large-coco,0.5530839231547017,0.0636704119850187
5,google/paligemma-3b-pt-224,0.4657903606336366,0.0112359550561797
6,google/paligemma-3b-pt-448,0.4624199528142905,0.0112359550561797
7,google/paligemma-3b-mix-224,0.5402763734411864,0.0337078651685393
8,google/paligemma-3b-mix-448,0.5456690259521402,0.0337078651685393
9,google/paligemma-3b-ft-ocrvqa-224,0.4612403100775193,0.0074906367041198
10,google/paligemma-3b-ft-ocrvqa-448,0.4464105156723963,0.0149812734082397
0,Salesforce/blip2-opt-2.7b,0.5092686215032018,0.0224719101123595
1,Salesforce/blip2-opt-6.7b,0.553758004718571,0.0636704119850187
2,Salesforce/blip2-opt-2.7b-coco,0.4507920458375463,0.0149812734082397
3,Salesforce/blip2-opt-6.7b-coco,0.5503875968992248,0.0636704119850187
4,Salesforce/blip-image-captioning-base,0.4469160768452982,0.0149812734082397
5,microsoft/git-base-textcaps,0.5527468823727671,0.0636704119850187
6,microsoft/git-large-textcaps,0.5530839231547017,0.0636704119850187
7,microsoft/git-base-msrvtt-qa,0.5497135153353556,0.0524344569288389
8,microsoft/git-large-msrvtt-qa,0.5530839231547017,0.0636704119850187
9,microsoft/kosmos-2-patch14-224,0.4472531176272329,0.0149812734082397
