model,model_size
Salesforce/blip2-opt-2.7b,3744761856
Salesforce/blip2-opt-6.7b,7752869376
Salesforce/blip2-opt-2.7b-coco,3745353216
Salesforce/blip2-opt-6.7b-coco,7753460736
Salesforce/blip-image-captioning-base,247414076
Salesforce/blip-image-captioning-large,469732924
microsoft/git-base,176619066
microsoft/git-large,394196026
microsoft/git-base-coco,176619066
microsoft/git-large-coco,394196026
microsoft/git-base-textcaps,176619066
microsoft/git-large-textcaps,394196026
microsoft/kosmos-2-patch14-224,1664485376
